,id,name,category,proteins,p_value,fdr_rate
0,GO:0098655,Cation transmembrane transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000110729', '10090.ENSMUSP00000097882', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000025408', '10090.ENSMUSP00000027396']",0.0031808939895235284,0.04896955906164566
1,GO:0001819,Positive regulation of cytokine production,Biological Process (Gene Ontology),"['10090.ENSMUSP00000027888', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000028286', '10090.ENSMUSP00000086592', '10090.ENSMUSP00000025257', '10090.ENSMUSP00000067953', '10090.ENSMUSP00000067057', '10090.ENSMUSP00000018644', '10090.ENSMUSP00000023593', '10090.ENSMUSP00000035829', '10090.ENSMUSP00000048573', '10090.ENSMUSP00000036203', '10090.ENSMUSP00000021262', '10090.ENSMUSP00000025791', '10090.ENSMUSP00000119465', '10090.ENSMUSP00000070958', '10090.ENSMUSP00000101684']",0.003173622249882623,0.0488887506562543
2,GO:0002027,Regulation of heart rate,Biological Process (Gene Ontology),"['10090.ENSMUSP00000017841', '10090.ENSMUSP00000053703', '10090.ENSMUSP00000070200', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000086592', '10090.ENSMUSP00000140890', '10090.ENSMUSP00000040847']",0.003148649067606076,0.048534979568902334
3,GO:0033561,Regulation of water loss via skin,Biological Process (Gene Ontology),"['10090.ENSMUSP00000035250', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000021268', '10090.ENSMUSP00000000329']",0.0031355784795830937,0.048364347065426534
4,MMU-389661,Glyoxylate metabolism and glycine degradation,Reactome Pathways,"['10090.ENSMUSP00000043821', '10090.ENSMUSP00000035230', '10090.ENSMUSP00000027491', '10090.ENSMUSP00000022858']",0.0031355784795830937,0.048364347065426534
5,GO:0051957,Positive regulation of amino acid transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000063548', '10090.ENSMUSP00000101060', '10090.ENSMUSP00000107890', '10090.ENSMUSP00000066488']",0.0031355784795830937,0.048364347065426534
6,GO:0009262,Deoxyribonucleotide metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000047665', '10090.ENSMUSP00000017841', '10090.ENSMUSP00000030583', '10090.ENSMUSP00000025696']",0.0031355784795830937,0.048364347065426534
7,GO:0035198,miRNA binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000081312', '10090.ENSMUSP00000066633', '10090.ENSMUSP00000042207', '10090.ENSMUSP00000095498']",0.0031355784795830937,0.048364347065426534
8,GO:0072523,Purine-containing compound catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000017841', '10090.ENSMUSP00000061851', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000074827']",0.0031316157749831848,0.048364347065426534
9,GO:0043292,Contractile fiber,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000066068', '10090.ENSMUSP00000067708', '10090.ENSMUSP00000053703', '10090.ENSMUSP00000087736', '10090.ENSMUSP00000070445', '10090.ENSMUSP00000021554', '10090.ENSMUSP00000084846', '10090.ENSMUSP00000048218', '10090.ENSMUSP00000006626', '10090.ENSMUSP00000068479', '10090.ENSMUSP00000034453', '10090.ENSMUSP00000071486']",0.0031272795018400137,0.048364347065426534
